formula_sc,formula_similarity,totreldiff,formula_frac,correct_formula_frac,formula_2,orig_formula_cif,tc,sc_class,sc_class_unique_sc,norm_formula_sc,chemical_composition_sc,num_elements_sc,origin_sc,old_formula_sc,database_id_2,original_formula_2,chemical_composition_2,norm_formula_2,spacegroup_2,crystal_system_2,lata_2,latb_2,latc_2,cif,original_cif_2,material_id_2,band_gap_2,band_structure_2,created_at_2,density_2,doi_2,doi_bibtex_2,dos_2,e_above_hull_2,efermi_2,encut_2,energy_2,energy_per_atom_2,exp_2,final_energy_2,final_energy_per_atom_2,formation_energy_per_atom_2,has_2,has_bandstructure_2,icsd_ids_2,is_ordered_2,last_updated_2,magnetic_type_2,nsites_2,ntask_ids_2,original_task_id_2,oxide_type_2,pretty_formula_2,pseudo_potential_2,reduced_cell_formula_2,run_type_2,task_id_2,task_ids_2,total_magnetization_2,unit_cell_formula_2,cell_volume_2,warnings_2,ordering_2,is_magnetic_2,exchange_symmetry_2,num_unique_magnetic_sites_2,magmoms_2,total_magnetization_normalized_vol_2,total_magnetization_normalized_formula_units_2,num_magnetic_sites_2,true_total_magnetization_2,origin_2,cif_before_synthetic_doping,synth_doped,Reason for exclusion,graph,crystal_temp_2,no_crystal_temp_given_2,point_group_2,cubic,hexagonal,monoclinic,orthorhombic,tetragonal,triclinic,trigonal,primitive,base-centered,body-centered,face-centered,weight
Al0.3Ba2Cu2La2Ti1.7O10.86,3,0.0680805938494167,0.5,False,Al0.15Ba1Cu1La1Ti0.85O5.43,Ba1Cu1La1Ti1O6,0.0,Cuprate,True,Al1.591Ba10.604Cu10.604La10.604Ti9.014O57.582184517497346,Al-Ba-Cu-La-Ti-O,6,Supercon,La2Ba2Cu2Ti1.7Al0.3O10.86,MP-mp-1227852,Ba1La1Ti1Cu1O6,Ba-Cu-La-Ti-O,Ba10Cu10La10Ti10O60,F -4 3 m,cubic,5.61997722,5.619977219999999,5.619977219999999,data/final/MP/cifs/Al0.3Ba2Cu2La2Ti1.7O10.86-MP-mp-1227852-synth_doped.cif,data/source/MP/raw/cifs/mp-1227852.cif,mp-1227852,0.0,,2019-01-13 03:38:10.917000,6.398590577851808,,,{'GGA': {'task_id': 'mp-1734188'}},0.1228187138579528,4.96777084,520.0,-72.7941219,-7.279412189999999,{'tags': []},-72.7941219,-7.279412189999999,-2.8378679248333327,['bandstructure'],True,[],True,2021-05-12 10:58:49.477000,FM,10,5,mp-1227852,oxide,BaLaTiCuO6,"{'functional': 'PBE', 'labels': ['Ba_sv', 'La', 'Ti_pv', 'Cu_pv', 'O'], 'pot_type': 'paw'}","{'Ba': 1.0, 'La': 1.0, 'Ti': 1.0, 'Cu': 1.0, 'O': 6.0}",GGA,mp-1227852,"['mp-1227852', 'mp-1389128', 'mp-1734188', 'mp-1805149', 'mp-1621737']",1.9113509,"{'Ba': 1.0, 'La': 1.0, 'Ti': 1.0, 'Cu': 1.0, 'O': 6.0}",125.51298752546604,[],FM,True,216,1,"[0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0152283117283954,1.9113509,1,1.9113509,MP,data/source/MP/cleaned/cifs/MP-mp-1227852.cif,True,,data/final/MP/graphs/Al0.3Ba2Cu2La2Ti1.7O10.86-MP-mp-1227852-synth_doped.json,0,True,-43m,5,0,0,0,0,0,0,0,0,0,1,1.0
B0.015C0.985Cu1Sr2O5,2,0.0033333333333333,4.0,False,B0.06C3.94Cu4Sr8O20,C4Cu4Sr8O20,0.0,Cuprate,True,B0.167C10.944Cu11.111Sr22.222O55.55555555555556,B-C-Cu-Sr-O,5,Supercon,Sr2Cu1C0.985B0.015O5,MP-mp-1198030,Sr8Cu4C4O20,C-Cu-Sr-O,C11.111Cu11.111Sr22.222O55.55555555555556,I -4,tetragonal,7.877744002100394,7.877744002100395,9.46755054,data/final/MP/cifs/B0.015C0.985Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,data/source/MP/raw/cifs/mp-1198030.cif,mp-1198030,0.0,,2019-01-12 02:53:33.853000,4.624821022244182,,,{'GGA': {'task_id': 'mp-1742814'}},0.0386187874999981,3.47889523,520.0,-237.90163358,-6.608378710555556,"{'tags': ['Distrontium copper dioxide carbonate - LT', 'Distrontium copper dioxide carbonate']}",-237.90163358,-6.608378710555556,-2.385069899259259,['bandstructure'],True,"[78650, 83095]",True,2021-05-12 10:58:37.524000,NM,36,6,mp-1198030,oxide,Sr2CuCO5,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Cu_pv', 'C', 'O'], 'pot_type': 'paw'}","{'Sr': 2.0, 'Cu': 1.0, 'C': 1.0, 'O': 5.0}",GGA,mp-1198030,"['mp-1198030', 'mp-1200477', 'mp-1399692', 'mp-1742814', 'mp-1929945', 'mp-1655225']",0.000743875,"{'Sr': 8.0, 'Cu': 4.0, 'C': 4.0, 'O': 20.0}",475.08507610840775,[],NM,False,82,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.263088759540475e-06,0.000743875,0,0.0029755,MP,data/source/MP/cleaned/cifs/MP-mp-1198030.cif,True,,data/final/MP/graphs/B0.015C0.985Cu1Sr2O5-MP-mp-1198030-synth_doped.json,0,True,-4,0,0,0,0,2,0,0,0,0,1,0,1.0
B0.027C0.973Cu1Sr2O5,2,0.006,4.0,False,B0.108C3.892Cu4Sr8O20,C4Cu4Sr8O20,0.0,Cuprate,True,B0.3C10.811Cu11.111Sr22.222O55.55555555555556,B-C-Cu-Sr-O,5,Supercon,Sr2Cu1C0.973B0.027O5,MP-mp-1198030,Sr8Cu4C4O20,C-Cu-Sr-O,C11.111Cu11.111Sr22.222O55.55555555555556,I -4,tetragonal,7.877744002100394,7.877744002100395,9.46755054,data/final/MP/cifs/B0.027C0.973Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,data/source/MP/raw/cifs/mp-1198030.cif,mp-1198030,0.0,,2019-01-12 02:53:33.853000,4.624821022244182,,,{'GGA': {'task_id': 'mp-1742814'}},0.0386187874999981,3.47889523,520.0,-237.90163358,-6.608378710555556,"{'tags': ['Distrontium copper dioxide carbonate - LT', 'Distrontium copper dioxide carbonate']}",-237.90163358,-6.608378710555556,-2.385069899259259,['bandstructure'],True,"[78650, 83095]",True,2021-05-12 10:58:37.524000,NM,36,6,mp-1198030,oxide,Sr2CuCO5,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Cu_pv', 'C', 'O'], 'pot_type': 'paw'}","{'Sr': 2.0, 'Cu': 1.0, 'C': 1.0, 'O': 5.0}",GGA,mp-1198030,"['mp-1198030', 'mp-1200477', 'mp-1399692', 'mp-1742814', 'mp-1929945', 'mp-1655225']",0.000743875,"{'Sr': 8.0, 'Cu': 4.0, 'C': 4.0, 'O': 20.0}",475.08507610840775,[],NM,False,82,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.263088759540475e-06,0.000743875,0,0.0029755,MP,data/source/MP/cleaned/cifs/MP-mp-1198030.cif,True,,data/final/MP/graphs/B0.027C0.973Cu1Sr2O5-MP-mp-1198030-synth_doped.json,0,True,-4,0,0,0,0,2,0,0,0,0,1,0,1.0
B0.04C0.96Cu1Sr2O5,2,0.0088888888888888,4.0,False,B0.16C3.84Cu4Sr8O20,C4Cu4Sr8O20,7.0,Cuprate,True,B0.444C10.667Cu11.111Sr22.222O55.55555555555556,B-C-Cu-Sr-O,5,Supercon,Sr2Cu1C0.96B0.04O5,MP-mp-1198030,Sr8Cu4C4O20,C-Cu-Sr-O,C11.111Cu11.111Sr22.222O55.55555555555556,I -4,tetragonal,7.877744002100394,7.877744002100395,9.46755054,data/final/MP/cifs/B0.04C0.96Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,data/source/MP/raw/cifs/mp-1198030.cif,mp-1198030,0.0,,2019-01-12 02:53:33.853000,4.624821022244182,,,{'GGA': {'task_id': 'mp-1742814'}},0.0386187874999981,3.47889523,520.0,-237.90163358,-6.608378710555556,"{'tags': ['Distrontium copper dioxide carbonate - LT', 'Distrontium copper dioxide carbonate']}",-237.90163358,-6.608378710555556,-2.385069899259259,['bandstructure'],True,"[78650, 83095]",True,2021-05-12 10:58:37.524000,NM,36,6,mp-1198030,oxide,Sr2CuCO5,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Cu_pv', 'C', 'O'], 'pot_type': 'paw'}","{'Sr': 2.0, 'Cu': 1.0, 'C': 1.0, 'O': 5.0}",GGA,mp-1198030,"['mp-1198030', 'mp-1200477', 'mp-1399692', 'mp-1742814', 'mp-1929945', 'mp-1655225']",0.000743875,"{'Sr': 8.0, 'Cu': 4.0, 'C': 4.0, 'O': 20.0}",475.08507610840775,[],NM,False,82,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.263088759540475e-06,0.000743875,0,0.0029755,MP,data/source/MP/cleaned/cifs/MP-mp-1198030.cif,True,,data/final/MP/graphs/B0.04C0.96Cu1Sr2O5-MP-mp-1198030-synth_doped.json,0,True,-4,0,0,0,0,2,0,0,0,0,1,0,1.0
B0.05C0.95Cu1Sr2O5,2,0.0111111111111111,4.0,False,B0.2C3.8Cu4Sr8O20,C4Cu4Sr8O20,12.5,Cuprate,True,B0.556C10.556Cu11.111Sr22.222O55.55555555555556,B-C-Cu-Sr-O,5,Supercon,Sr2Cu1C0.95B0.05O5,MP-mp-1198030,Sr8Cu4C4O20,C-Cu-Sr-O,C11.111Cu11.111Sr22.222O55.55555555555556,I -4,tetragonal,7.877744002100394,7.877744002100395,9.46755054,data/final/MP/cifs/B0.05C0.95Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,data/source/MP/raw/cifs/mp-1198030.cif,mp-1198030,0.0,,2019-01-12 02:53:33.853000,4.624821022244182,,,{'GGA': {'task_id': 'mp-1742814'}},0.0386187874999981,3.47889523,520.0,-237.90163358,-6.608378710555556,"{'tags': ['Distrontium copper dioxide carbonate - LT', 'Distrontium copper dioxide carbonate']}",-237.90163358,-6.608378710555556,-2.385069899259259,['bandstructure'],True,"[78650, 83095]",True,2021-05-12 10:58:37.524000,NM,36,6,mp-1198030,oxide,Sr2CuCO5,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Cu_pv', 'C', 'O'], 'pot_type': 'paw'}","{'Sr': 2.0, 'Cu': 1.0, 'C': 1.0, 'O': 5.0}",GGA,mp-1198030,"['mp-1198030', 'mp-1200477', 'mp-1399692', 'mp-1742814', 'mp-1929945', 'mp-1655225']",0.000743875,"{'Sr': 8.0, 'Cu': 4.0, 'C': 4.0, 'O': 20.0}",475.08507610840775,[],NM,False,82,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.263088759540475e-06,0.000743875,0,0.0029755,MP,data/source/MP/cleaned/cifs/MP-mp-1198030.cif,True,,data/final/MP/graphs/B0.05C0.95Cu1Sr2O5-MP-mp-1198030-synth_doped.json,0,True,-4,0,0,0,0,2,0,0,0,0,1,0,1.0
B0.06C0.94Cu1Sr2O5,2,0.0133333333333333,4.0,False,B0.24C3.76Cu4Sr8O20,C4Cu4Sr8O20,21.0,Cuprate,True,B0.667C10.444Cu11.111Sr22.222O55.55555555555556,B-C-Cu-Sr-O,5,Supercon,Sr2Cu1C0.94B0.06O5,MP-mp-1198030,Sr8Cu4C4O20,C-Cu-Sr-O,C11.111Cu11.111Sr22.222O55.55555555555556,I -4,tetragonal,7.877744002100394,7.877744002100395,9.46755054,data/final/MP/cifs/B0.06C0.94Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,data/source/MP/raw/cifs/mp-1198030.cif,mp-1198030,0.0,,2019-01-12 02:53:33.853000,4.624821022244182,,,{'GGA': {'task_id': 'mp-1742814'}},0.0386187874999981,3.47889523,520.0,-237.90163358,-6.608378710555556,"{'tags': ['Distrontium copper dioxide carbonate - LT', 'Distrontium copper dioxide carbonate']}",-237.90163358,-6.608378710555556,-2.385069899259259,['bandstructure'],True,"[78650, 83095]",True,2021-05-12 10:58:37.524000,NM,36,6,mp-1198030,oxide,Sr2CuCO5,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Cu_pv', 'C', 'O'], 'pot_type': 'paw'}","{'Sr': 2.0, 'Cu': 1.0, 'C': 1.0, 'O': 5.0}",GGA,mp-1198030,"['mp-1198030', 'mp-1200477', 'mp-1399692', 'mp-1742814', 'mp-1929945', 'mp-1655225']",0.000743875,"{'Sr': 8.0, 'Cu': 4.0, 'C': 4.0, 'O': 20.0}",475.08507610840775,[],NM,False,82,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.263088759540475e-06,0.000743875,0,0.0029755,MP,data/source/MP/cleaned/cifs/MP-mp-1198030.cif,True,,data/final/MP/graphs/B0.06C0.94Cu1Sr2O5-MP-mp-1198030-synth_doped.json,0,True,-4,0,0,0,0,2,0,0,0,0,1,0,1.0
B0.07C0.93Cu1Sr2O5,2,0.0155555555555555,4.0,False,B0.28C3.72Cu4Sr8O20,C4Cu4Sr8O20,23.0,Cuprate,True,B0.778C10.333Cu11.111Sr22.222O55.55555555555556,B-C-Cu-Sr-O,5,Supercon,Sr2Cu1C0.93B0.07O5,MP-mp-1198030,Sr8Cu4C4O20,C-Cu-Sr-O,C11.111Cu11.111Sr22.222O55.55555555555556,I -4,tetragonal,7.877744002100394,7.877744002100395,9.46755054,data/final/MP/cifs/B0.07C0.93Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,data/source/MP/raw/cifs/mp-1198030.cif,mp-1198030,0.0,,2019-01-12 02:53:33.853000,4.624821022244182,,,{'GGA': {'task_id': 'mp-1742814'}},0.0386187874999981,3.47889523,520.0,-237.90163358,-6.608378710555556,"{'tags': ['Distrontium copper dioxide carbonate - LT', 'Distrontium copper dioxide carbonate']}",-237.90163358,-6.608378710555556,-2.385069899259259,['bandstructure'],True,"[78650, 83095]",True,2021-05-12 10:58:37.524000,NM,36,6,mp-1198030,oxide,Sr2CuCO5,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Cu_pv', 'C', 'O'], 'pot_type': 'paw'}","{'Sr': 2.0, 'Cu': 1.0, 'C': 1.0, 'O': 5.0}",GGA,mp-1198030,"['mp-1198030', 'mp-1200477', 'mp-1399692', 'mp-1742814', 'mp-1929945', 'mp-1655225']",0.000743875,"{'Sr': 8.0, 'Cu': 4.0, 'C': 4.0, 'O': 20.0}",475.08507610840775,[],NM,False,82,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.263088759540475e-06,0.000743875,0,0.0029755,MP,data/source/MP/cleaned/cifs/MP-mp-1198030.cif,True,,data/final/MP/graphs/B0.07C0.93Cu1Sr2O5-MP-mp-1198030-synth_doped.json,0,True,-4,0,0,0,0,2,0,0,0,0,1,0,1.0
B0.08C0.92Cu1Sr2O5,2,0.0177777777777777,4.0,False,B0.32C3.68Cu4Sr8O20,C4Cu4Sr8O20,25.0,Cuprate,True,B0.889C10.222Cu11.111Sr22.222O55.55555555555556,B-C-Cu-Sr-O,5,Supercon,Sr2Cu1C0.92B0.08O5,MP-mp-1198030,Sr8Cu4C4O20,C-Cu-Sr-O,C11.111Cu11.111Sr22.222O55.55555555555556,I -4,tetragonal,7.877744002100394,7.877744002100395,9.46755054,data/final/MP/cifs/B0.08C0.92Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,data/source/MP/raw/cifs/mp-1198030.cif,mp-1198030,0.0,,2019-01-12 02:53:33.853000,4.624821022244182,,,{'GGA': {'task_id': 'mp-1742814'}},0.0386187874999981,3.47889523,520.0,-237.90163358,-6.608378710555556,"{'tags': ['Distrontium copper dioxide carbonate - LT', 'Distrontium copper dioxide carbonate']}",-237.90163358,-6.608378710555556,-2.385069899259259,['bandstructure'],True,"[78650, 83095]",True,2021-05-12 10:58:37.524000,NM,36,6,mp-1198030,oxide,Sr2CuCO5,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Cu_pv', 'C', 'O'], 'pot_type': 'paw'}","{'Sr': 2.0, 'Cu': 1.0, 'C': 1.0, 'O': 5.0}",GGA,mp-1198030,"['mp-1198030', 'mp-1200477', 'mp-1399692', 'mp-1742814', 'mp-1929945', 'mp-1655225']",0.000743875,"{'Sr': 8.0, 'Cu': 4.0, 'C': 4.0, 'O': 20.0}",475.08507610840775,[],NM,False,82,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.263088759540475e-06,0.000743875,0,0.0029755,MP,data/source/MP/cleaned/cifs/MP-mp-1198030.cif,True,,data/final/MP/graphs/B0.08C0.92Cu1Sr2O5-MP-mp-1198030-synth_doped.json,0,True,-4,0,0,0,0,2,0,0,0,0,1,0,1.0
B0.09C0.91Cu1Sr2O5,2,0.0199999999999999,4.0,False,B0.36C3.64Cu4Sr8O20,C4Cu4Sr8O20,26.5,Cuprate,True,B1C10.111Cu11.111Sr22.222O55.55555555555556,B-C-Cu-Sr-O,5,Supercon,Sr2Cu1C0.91B0.09O5,MP-mp-1198030,Sr8Cu4C4O20,C-Cu-Sr-O,C11.111Cu11.111Sr22.222O55.55555555555556,I -4,tetragonal,7.877744002100394,7.877744002100395,9.46755054,data/final/MP/cifs/B0.09C0.91Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,data/source/MP/raw/cifs/mp-1198030.cif,mp-1198030,0.0,,2019-01-12 02:53:33.853000,4.624821022244182,,,{'GGA': {'task_id': 'mp-1742814'}},0.0386187874999981,3.47889523,520.0,-237.90163358,-6.608378710555556,"{'tags': ['Distrontium copper dioxide carbonate - LT', 'Distrontium copper dioxide carbonate']}",-237.90163358,-6.608378710555556,-2.385069899259259,['bandstructure'],True,"[78650, 83095]",True,2021-05-12 10:58:37.524000,NM,36,6,mp-1198030,oxide,Sr2CuCO5,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Cu_pv', 'C', 'O'], 'pot_type': 'paw'}","{'Sr': 2.0, 'Cu': 1.0, 'C': 1.0, 'O': 5.0}",GGA,mp-1198030,"['mp-1198030', 'mp-1200477', 'mp-1399692', 'mp-1742814', 'mp-1929945', 'mp-1655225']",0.000743875,"{'Sr': 8.0, 'Cu': 4.0, 'C': 4.0, 'O': 20.0}",475.08507610840775,[],NM,False,82,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.263088759540475e-06,0.000743875,0,0.0029755,MP,data/source/MP/cleaned/cifs/MP-mp-1198030.cif,True,,data/final/MP/graphs/B0.09C0.91Cu1Sr2O5-MP-mp-1198030-synth_doped.json,0,True,-4,0,0,0,0,2,0,0,0,0,1,0,1.0
B0.14C0.86Cu1Sr2O5,2,0.0311111111111111,4.0,False,B0.56C3.44Cu4Sr8O20,C4Cu4Sr8O20,31.0,Cuprate,True,B1.556C9.556Cu11.111Sr22.222O55.55555555555556,B-C-Cu-Sr-O,5,Supercon,Sr2Cu1C0.86B0.14O5,MP-mp-1198030,Sr8Cu4C4O20,C-Cu-Sr-O,C11.111Cu11.111Sr22.222O55.55555555555556,I -4,tetragonal,7.877744002100394,7.877744002100395,9.46755054,data/final/MP/cifs/B0.14C0.86Cu1Sr2O5-MP-mp-1198030-synth_doped.cif,data/source/MP/raw/cifs/mp-1198030.cif,mp-1198030,0.0,,2019-01-12 02:53:33.853000,4.624821022244182,,,{'GGA': {'task_id': 'mp-1742814'}},0.0386187874999981,3.47889523,520.0,-237.90163358,-6.608378710555556,"{'tags': ['Distrontium copper dioxide carbonate - LT', 'Distrontium copper dioxide carbonate']}",-237.90163358,-6.608378710555556,-2.385069899259259,['bandstructure'],True,"[78650, 83095]",True,2021-05-12 10:58:37.524000,NM,36,6,mp-1198030,oxide,Sr2CuCO5,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Cu_pv', 'C', 'O'], 'pot_type': 'paw'}","{'Sr': 2.0, 'Cu': 1.0, 'C': 1.0, 'O': 5.0}",GGA,mp-1198030,"['mp-1198030', 'mp-1200477', 'mp-1399692', 'mp-1742814', 'mp-1929945', 'mp-1655225']",0.000743875,"{'Sr': 8.0, 'Cu': 4.0, 'C': 4.0, 'O': 20.0}",475.08507610840775,[],NM,False,82,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.263088759540475e-06,0.000743875,0,0.0029755,MP,data/source/MP/cleaned/cifs/MP-mp-1198030.cif,True,,data/final/MP/graphs/B0.14C0.86Cu1Sr2O5-MP-mp-1198030-synth_doped.json,0,True,-4,0,0,0,0,2,0,0,0,0,1,0,1.0
